I,gq,groups,score
0.30101010101,0.158484848485,1,-571.73
0.30101010101,0.168383838384,1,-571.73
0.30101010101,0.178282828283,1,-571.73
0.30101010101,0.198080808081,1,-571.73
0.30101010101,0.188181818182,1,-571.73
0.30101010101,0.20797979798,1,-571.73
0.30101010101,0.217878787879,1,-571.73
0.30101010101,0.227777777778,1,-571.73
0.30101010101,0.237676767677,1,-571.73
0.30101010101,0.247575757576,1,-571.73
0.30101010101,0.257474747475,1,-571.73
0.30101010101,0.267373737374,1,-571.73
0.30101010101,0.277272727273,1,-571.73
0.30101010101,0.287171717172,1,-571.73
0.30101010101,0.297070707071,1,-571.73
0.30101010101,0.30696969697,1,-571.73
0.30101010101,0.316868686869,1,-571.73
0.30101010101,0.326767676768,1,-571.73
0.30101010101,0.336666666667,1,-571.73
0.30101010101,0.346565656566,1,-571.73
0.30101010101,0.366363636364,1,-571.73
0.30101010101,0.356464646465,1,-571.73
0.30101010101,0.376262626263,1,-571.73
0.30101010101,0.386161616162,1,-571.73
0.30101010101,0.465353535354,3,-238.12
0.30101010101,0.445555555556,3,-238.12
0.30101010101,0.396060606061,1,-571.73
0.30101010101,0.455454545455,3,-238.12
0.30101010101,0.435656565657,3,-238.12
0.30101010101,0.40595959596,1,-571.73
0.30101010101,0.425757575758,2,-311.84
0.30101010101,0.415858585859,1,-571.73
0.30101010101,0.475252525253,5,-159.2
0.30101010101,0.485151515152,5,-159.2
0.30101010101,0.504949494949,7,-123.21
0.30101010101,0.495050505051,6,-138.5
0.30101010101,0.623737373737,66,-73.11
0.30101010101,0.603939393939,48,-32.99
0.30101010101,0.613838383838,55,-47.89
0.30101010101,0.633636363636,75,-94.92
0.30101010101,0.643535353535,89,-131.31
0.30101010101,0.653434343434,98,-155.81
0.30101010101,0.663333333333,115,-203.67
0.30101010101,0.673232323232,135,-262.95
0.30101010101,0.69303030303,171,-375.37
0.30101010101,0.702929292929,196,-457.44
0.30101010101,0.683131313131,149,-306.0
0.30101010101,0.712828282828,222,-545.33
0.30101010101,0.514848484848,7,-123.21
0.30101010101,0.564343434343,20,-39.47
0.30101010101,0.722727272727,238,-600.71
0.30101010101,0.534646464646,13,-76.44
0.30101010101,0.524747474747,8,-111.08
0.30101010101,0.742525252525,306,-844.68
0.30101010101,0.752424242424,331,-937.74
0.30101010101,0.544545454545,15,-66.14
0.30101010101,0.762323232323,358,-1040.05
0.30101010101,0.772222222222,386,-1147.88
0.30101010101,0.782121212121,413,-1253.17
0.30101010101,0.79202020202,435,-1340.23
0.30101010101,0.801919191919,458,-1432.42
