Gen	I	gq	result
145	5.644620912680973	0.5719320661558513	-129.43
146	4.877611430828998	0.556519811059619	-69.04
147	4.583303812072019	0.545738891639644	-42.41
148	5.934480914055729	0.534713824199333	-40.33
149	6.280836829927303	0.5368146518379042	-39.06
150	6.210260325445748	0.5362410095553222	-40.82
151	6.111921392972799	0.5002988017123622	-19.09
152	7.005352287438573	0.4755942081519061	-27.25
153	6.497909154574879	0.9086657681577618	-2671.47
154	5.895086946707579	0.8795181992295339	-2434.43
155	6.371649293271235	0.8797986206879386	-2438.84
156	5.667196612157907	0.8817900537772159	-2460.89
157	5.2059424772598675	0.880960835496337	-2447.63
158	5.2059424772598675	0.880960835496337	-2447.63
159	5.509846340682427	0.8358998777771786	-1976.39
160	4.791773046635337	0.8222927073358915	-1869.32
161	5.1587186750775516	0.8217253752742435	-1865.08
162	5.1587186750775516	0.8217253752742435	-1865.08
163	6.212838142211055	0.8395906669956295	-2023.97
164	6.212838142211055	0.8395906669956295	-2023.97
165	5.322160954539779	0.8077534168591705	-1712.57
166	4.605413946208064	0.7375176214222743	-1072.32
167	5.047228048143658	0.7570161508837591	-1276.49
168	4.671429164367816	0.7495181552653363	-1170.48
169	4.871088409769469	0.7462436184337494	-1149.58
170	3.0069423493698877	0.6315730670446353	-289.72
171	2.523367448659736	0.6480865255291147	-386.85
172	3.088875371848803	0.7070496084713019	-765.76
173	3.2656393187119757	0.7168667295156294	-846.54
174	3.1279056130562006	0.7910593498054911	-1578.77
175	3.6783750903467403	0.7902585737730192	-1570.47
176	4.304597699624697	0.7638393764449236	-1312.61
177	4.304597699624697	0.7638393764449236	-1312.61
178	4.304597699624697	0.7638393764449236	-1312.61
179	3.3616199627282666	0.7144499064374851	-835.38
180	2.1218864140013505	0.7141126559974664	-791.41
181	2.512781884592515	0.6556392438810332	-413.35
182	1.714035685938096	0.6457710794156313	-335.95
183	1.7057564421074511	0.6834772950801166	-536.14
184	1.7190406314763376	0.650808522292747	-364.14
185	2.260072906123999	0.6912857182871459	-614.38
186	2.7813960512498617	0.6410934796116288	-334.86
187	1.9443025098602282	0.6367595337297771	-294.65
188	2.722556034758706	0.6133397981186388	-201.26
189	1.521408226808527	0.5948895531032661	-115.52
190	1.526167914515588	0.5699310386062729	-50.25
191	1.9038867807659243	0.5802495422340487	-89.83
192	1.8071832706775242	0.5955142111464355	-131.05
193	2.4024008641340044	0.6131191856085301	-198.36
194	4.080758181167455	0.6004588947753333	-189.66
195	3.0226817511616373	0.6749901722030341	-535.03
