,I,gq,groups,score
191,0.50202020202,0.01,1,-135.76
192,0.30101010101,0.910808080808,68,-126.82
193,0.50202020202,0.019898989899,1,-135.76
194,0.50202020202,0.029797979797999998,1,-135.76
195,0.50202020202,0.039696969697,1,-135.76
196,0.30101010101,0.9207070707070001,73,-140.71
197,0.50202020202,0.049595959595999994,1,-135.76
198,0.30101010101,0.9306060606059999,77,-151.99
199,0.50202020202,0.05949494949490001,1,-135.76
200,0.50202020202,0.06939393939389998,1,-135.76
201,0.50202020202,0.0792929292929,1,-135.76
202,0.30101010101,0.9405050505050001,84,-171.89
203,0.30101010101,0.950404040404,90,-189.2
204,0.50202020202,0.08919191919189999,1,-135.76
205,0.50202020202,0.09909090909089999,1,-135.76
206,0.50202020202,0.10898989899,1,-135.76
207,0.30101010101,0.960303030303,101,-221.39
208,0.50202020202,0.11888888888900001,1,-135.76
209,0.50202020202,0.128787878788,1,-135.76
210,0.30101010101,0.970202020202,109,-245.29
211,0.50202020202,0.14858585858599999,1,-135.76
212,0.50202020202,0.138686868687,1,-135.76
213,0.50202020202,0.158484848485,1,-135.76
214,0.30101010101,0.980101010101,116,-266.47
215,0.50202020202,0.16838383838399998,1,-135.76
216,0.50202020202,0.178282828283,1,-135.76
217,0.50202020202,0.188181818182,1,-135.76
218,0.30101010101,0.99,118,-272.57
219,0.50202020202,0.198080808081,1,-135.76
220,0.50202020202,0.20797979798,1,-135.76
221,0.50202020202,0.217878787879,1,-135.76
222,0.50202020202,0.227777777778,1,-135.76
223,0.50202020202,0.23767676767700002,1,-135.76
224,0.50202020202,0.257474747475,1,-135.76
225,0.50202020202,0.24757575757599998,1,-135.76
226,0.50202020202,0.267373737374,1,-135.76
227,0.50202020202,0.277272727273,1,-135.76
228,0.50202020202,0.287171717172,1,-135.76
229,0.50202020202,0.29707070707100003,1,-135.76
230,0.50202020202,0.30696969697,1,-135.76
231,0.50202020202,0.316868686869,1,-135.76
232,0.50202020202,0.326767676768,1,-135.76
233,0.50202020202,0.33666666666699996,1,-135.76
234,0.50202020202,0.34656565656599997,1,-135.76
235,0.50202020202,0.356464646465,1,-135.76
236,0.50202020202,0.366363636364,1,-135.76
237,0.50202020202,0.386161616162,1,-135.76
238,0.50202020202,0.376262626263,1,-135.76
239,0.50202020202,0.40595959596000003,1,-135.76
240,0.50202020202,0.396060606061,1,-135.76
241,0.50202020202,0.425757575758,1,-135.76
242,0.50202020202,0.415858585859,1,-135.76
243,0.50202020202,0.435656565657,1,-135.76
244,0.50202020202,0.445555555556,1,-135.76
245,0.50202020202,0.455454545455,1,-135.76
246,0.50202020202,0.46535353535400004,1,-135.76
247,0.50202020202,0.47525252525300005,1,-135.76
248,0.50202020202,0.48515151515199995,2,-71.87
249,0.50202020202,0.49505050505099996,2,-71.87
250,0.50202020202,0.504949494949,2,-71.87
251,0.50202020202,0.534646464646,3,-44.88
252,0.50202020202,0.514848484848,2,-71.87
253,0.50202020202,0.524747474747,2,-71.87
254,0.50202020202,0.5445454545449999,4,-33.95
255,0.50202020202,0.554444444444,5,-27.48
256,0.50202020202,0.574242424242,7,-17.13
257,0.50202020202,0.5643434343429999,7,-17.13
258,0.50202020202,0.584141414141,8,-14.2
259,0.50202020202,0.59404040404,9,-9.3
260,0.50202020202,0.603939393939,9,-9.3
261,0.50202020202,0.623737373737,13,-4.59
262,0.50202020202,0.613838383838,11,-3.53
263,0.50202020202,0.633636363636,15,-7.33
264,0.50202020202,0.643535353535,18,-9.98
265,0.50202020202,0.653434343434,18,-9.98
266,0.50202020202,0.663333333333,20,-13.64
267,0.50202020202,0.673232323232,23,-19.13
268,0.50202020202,0.683131313131,24,-21.11
269,0.50202020202,0.69303030303,24,-21.11
270,0.50202020202,0.702929292929,27,-27.35
271,0.50202020202,0.712828282828,32,-38.18
272,0.50202020202,0.722727272727,33,-40.43
273,0.50202020202,0.7326262626260001,37,-48.23
274,0.50202020202,0.742525252525,37,-48.23
275,0.50202020202,0.7524242424240001,38,-49.3
276,0.50202020202,0.762323232323,39,-51.78
277,0.50202020202,0.7722222222220001,42,-59.08
278,0.50202020202,0.7821212121209999,47,-71.56
279,0.50202020202,0.7920202020199999,49,-76.61
280,0.50202020202,0.801919191919,50,-79.15
281,0.50202020202,0.8118181818179999,50,-79.15
282,0.50202020202,0.821717171717,51,-81.7
283,0.50202020202,0.8316161616159999,53,-86.84
284,0.50202020202,0.841515151515,58,-99.84
285,0.50202020202,0.851414141414,59,-102.47
286,0.50202020202,0.861313131313,59,-102.47
287,0.50202020202,0.871212121212,61,-107.79
288,0.50202020202,0.881111111111,63,-113.18
289,0.50202020202,0.8910101010100001,65,-118.53
290,0.50202020202,0.9009090909090001,65,-118.53
291,0.50202020202,0.910808080808,68,-126.82
292,0.50202020202,0.9207070707070001,73,-140.71
293,0.50202020202,0.9306060606059999,77,-151.99
294,0.70303030303,0.01,1,-135.76
295,0.70303030303,0.019898989899,1,-135.76
296,0.50202020202,0.9405050505050001,84,-171.89
297,0.50202020202,0.950404040404,90,-189.2
298,0.70303030303,0.049595959595999994,1,-135.76
299,0.70303030303,0.039696969697,1,-135.76
300,0.70303030303,0.029797979797999998,1,-135.76
301,0.50202020202,0.960303030303,101,-221.39
302,0.50202020202,0.970202020202,109,-245.29
303,0.70303030303,0.06939393939389998,1,-135.76
304,0.70303030303,0.05949494949490001,1,-135.76
305,0.70303030303,0.0792929292929,1,-135.76
306,0.50202020202,0.980101010101,116,-266.47
307,0.70303030303,0.08919191919189999,1,-135.76
308,0.50202020202,0.99,118,-272.57
309,0.70303030303,0.09909090909089999,1,-135.76
310,0.70303030303,0.10898989899,1,-135.76
311,0.70303030303,0.11888888888900001,1,-135.76
312,0.70303030303,0.128787878788,1,-135.76
313,0.70303030303,0.138686868687,1,-135.76
314,0.70303030303,0.14858585858599999,1,-135.76
315,0.70303030303,0.198080808081,1,-135.76
316,0.70303030303,0.16838383838399998,1,-135.76
317,0.70303030303,0.188181818182,1,-135.76
318,0.70303030303,0.158484848485,1,-135.76
319,0.70303030303,0.178282828283,1,-135.76
320,0.70303030303,0.20797979798,1,-135.76
321,0.70303030303,0.217878787879,1,-135.76
322,0.70303030303,0.227777777778,1,-135.76
323,0.70303030303,0.257474747475,1,-135.76
324,0.70303030303,0.23767676767700002,1,-135.76
325,0.70303030303,0.24757575757599998,1,-135.76
326,0.70303030303,0.267373737374,1,-135.76
327,0.70303030303,0.277272727273,1,-135.76
328,0.70303030303,0.287171717172,1,-135.76
329,0.70303030303,0.29707070707100003,1,-135.76
330,0.70303030303,0.316868686869,1,-135.76
331,0.70303030303,0.30696969697,1,-135.76
332,0.70303030303,0.326767676768,1,-135.76
333,0.70303030303,0.33666666666699996,1,-135.76
334,0.70303030303,0.34656565656599997,1,-135.76
335,0.70303030303,0.356464646465,1,-135.76
336,0.70303030303,0.366363636364,1,-135.76
337,0.70303030303,0.376262626263,1,-135.76
338,0.70303030303,0.386161616162,1,-135.76
339,0.70303030303,0.396060606061,1,-135.76
340,0.70303030303,0.40595959596000003,1,-135.76
341,0.70303030303,0.415858585859,1,-135.76
342,0.70303030303,0.425757575758,1,-135.76
343,0.70303030303,0.435656565657,1,-135.76
344,0.70303030303,0.445555555556,1,-135.76
345,0.70303030303,0.46535353535400004,1,-135.76
346,0.70303030303,0.455454545455,1,-135.76
347,0.70303030303,0.47525252525300005,1,-135.76
348,0.70303030303,0.48515151515199995,2,-71.87
349,0.70303030303,0.49505050505099996,2,-71.87
350,0.70303030303,0.504949494949,2,-71.87
351,0.70303030303,0.524747474747,2,-71.87
352,0.70303030303,0.514848484848,2,-71.87
353,0.70303030303,0.534646464646,3,-44.88
354,0.70303030303,0.5445454545449999,4,-33.95
355,0.70303030303,0.554444444444,5,-27.48
356,0.70303030303,0.5643434343429999,7,-17.13
357,0.70303030303,0.59404040404,9,-9.3
358,0.70303030303,0.574242424242,7,-17.13
359,0.70303030303,0.584141414141,8,-14.2
360,0.70303030303,0.603939393939,9,-9.3
361,0.70303030303,0.613838383838,11,-3.53
362,0.70303030303,0.623737373737,13,-4.59
363,0.70303030303,0.633636363636,15,-7.33
364,0.70303030303,0.643535353535,18,-9.98
365,0.70303030303,0.653434343434,18,-9.98
366,0.70303030303,0.663333333333,20,-13.64
367,0.70303030303,0.673232323232,23,-19.13
368,0.70303030303,0.683131313131,24,-21.11
369,0.70303030303,0.69303030303,24,-21.11
